date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:50	393634/393634	---MCZ	200	added ('OK')	application/json	date:Thu,%2001%20Aug%202024%2020:32:50%20GMT	https://marxismo.org.br/wp-json/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/wp-json/index.html	(from https://marxismo.org.br/)
23:32:50	2235/2235	---M-Z	200	added ('OK')	application/json	date:Thu,%2001%20Aug%202024%2020:32:50%20GMT	https://marxismo.org.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarxismo.org.br%2F	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/wp-json/oembed/1.0/embed2827.json	(from https://marxismo.org.br/)
23:32:52	2394/2394	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Aug%202024%2020:32:51%20GMT	https://marxismo.org.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmarxismo.org.br%2F&format=xml	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/wp-json/oembed/1.0/embedac62	(from https://marxismo.org.br/)
23:32:52	4644/4644	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2020:32:52%20GMT	https://www.marxismo.org.br/wp-content/uploads/2017/09/favicon4.png	C:/My%20Web%20Sites/NewDawn/www.marxismo.org.br/wp-content/uploads/2017/09/favicon4.png	(from https://marxismo.org.br/)
23:32:53	8118/8118	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2020:32:53%20GMT	https://marxismo.org.br/wp-content/themes/sahifa/images/patterns/body-bg1.png	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/wp-content/themes/sahifa/images/patterns/body-bg1.png	(from https://marxismo.org.br/)
23:32:54	15425/15425	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2020:32:54%20GMT	https://www.marxismo.org.br/wp-content/uploads/2024/06/Logo-OCI-ICR-500px.png	C:/My%20Web%20Sites/NewDawn/www.marxismo.org.br/wp-content/uploads/2024/06/Logo-OCI-ICR-500px.png	(from https://marxismo.org.br/)
23:32:55	4059/4059	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Aug%202024%2020:32:54%20GMT	https://www.marxismo.org.br/wp-content/uploads/2023/11/a-em-e-a-oci-700px-2.png	C:/My%20Web%20Sites/NewDawn/www.marxismo.org.br/wp-content/uploads/2023/11/a-em-e-a-oci-700px-2.png	(from https://marxismo.org.br/)
23:32:55	37904/37904	---M--	200	added ('OK')	image/jpeg	etag:%2228dfc633a0924cf0%22	https://i0.wp.com/marxismo.org.br/wp-content/uploads/2024/06/ivan-pinheiro-1.png?resize=660%2C330&ssl=1	C:/My%20Web%20Sites/NewDawn/i0.wp.com/marxismo.org.br/wp-content/uploads/2024/06/ivan-pinheiro-1b758.jpg	(from https://marxismo.org.br/)
23:32:55	4205/4205	---M--	200	added ('OK')	image/jpeg	etag:%227f74c9e0054405f8%22	https://i0.wp.com/marxismo.org.br/wp-content/uploads/2024/06/RCI_founding2_Image_own_work-scaled.jpg?resize=110%2C75&ssl=1	C:/My%20Web%20Sites/NewDawn/i0.wp.com/marxismo.org.br/wp-content/uploads/2024/06/RCI_founding2_Image_own_work-scaled4a03.jpg	(from https://marxismo.org.br/)
23:32:55	4775/4775	---M--	200	added ('OK')	image/jpeg	etag:%2245270ded6d930668%22	https://i0.wp.com/marxismo.org.br/wp-content/uploads/2024/03/manifesto-graphic-website.jpg?resize=110%2C75&ssl=1	C:/My%20Web%20Sites/NewDawn/i0.wp.com/marxismo.org.br/wp-content/uploads/2024/03/manifesto-graphic-website4a03.jpg	(from https://marxismo.org.br/)
